parameter,value,thermal_budget_m2,max_concentration_cm3,crossing_count,deepest_threshold_crossing_nm
diffusivity multiplier,0.5,9.2267839430412e-16,6.053369514855112e+17,2.0,325.075914795488
diffusivity multiplier,1.0,1.84535678860824e-15,5.073462185169873e+17,2.0,341.7193506058309
diffusivity multiplier,2.0,3.69071357721648e-15,4.018720783425564e+17,1.0,365.5961987589636
temperature offset,-10.0,1.437510535055919e-15,5.444031442707665e+17,2.0,334.9154902101698
temperature offset,0.0,1.84535678860824e-15,5.073462185169873e+17,2.0,341.7193506058309
temperature offset,10.0,2.3597166583162575e-15,4.698871409568799e+17,2.0,349.3587843576358
