depth_nm,initial_concentration_cm3,final_concentration_cm3
1.25,537831640170636.9,4591494051471269.0
3.7500000000000004,558019917286115.44,4675774095103611.0
6.25,598944172640412.5,4845255996593457.0
8.75,661707830749698.2,5101784080033179.0
11.25,747986040857870.0,5448126481714851.0
13.75,860049568251432.5,5887976882012232.0
16.25,1000796435291372.1,6425956403018788.0
18.75,1173791112922759.5,7067615323830787.0
21.25,1383310994323468.5,7819434184215160.0
23.75,1634399801046156.8,8688823770294330.0
26.25,1932927476714318.0,9684123403740388.0
28.75,2285656012648188.0,1.0814596889774674e+16
31.25,2700310522758858.5,1.2090425420045576e+16
33.75,3185654741211847.0,1.3522696675285864e+16
36.25000000000001,3751569955865371.5,1.5123389330652182e+16
38.75,4409136214126833.0,1.6905352134974568e+16
41.25,5170714447158873.0,1.8882276714960588e+16
43.75,6050027955592613.0,2.106866324786933e+16
46.25,7062241488184004.0,2.3479778152428636e+16
48.75,8224035928144955.0,2.6131602968899076e+16
51.25,9553676385028910.0,2.904077363617836e+16
53.75,1.107107127874127e+16,3.2224509427573068e+16
56.25000000000001,1.2797819802995252e+16,3.5700530878062376e+16
58.75,1.4757244975614906e+16,3.948696612506589e+16
61.24999999999999,1.6974409330432858e+16,4.3602245192227464e+16
63.75,1.9476110188602616e+16,4.8064981871559816e+16
66.25,2.229085137476142e+16,5.289384300322655e+16
68.75,2.5448788224610536e+16,5.810740511366982e+16
71.25,2.8981642774006824e+16,6.372399855078523e+16
73.75,3.2922586134094724e+16,6.976153944808405e+16
76.25,3.730608525020153e+16,7.623735005653966e+16
78.75,4.2167711521014376e+16,8.316796820097042e+16
81.25,4.754390912448063e+16,9.056894684484347e+16
83.75,5.347172136173755e+16,9.84546449803444e+16
86.25000000000001,5.998847389201074e+16,1.0683801129618205e+17
88.75,6.713141438926566e+16,1.1573036231018603e+17
91.25,7.493730890229051e+16,1.2514115688338918e+17
93.75,8.344199603776963e+16,1.3507776925271606e+17
96.25,9.26799010016561e+16,1.4554526292624467e+17
98.75000000000001,1.0268351251546512e+17,1.5654616797368208e+17
101.25,1.134828266555018e+17,1.6808026441067818e+17
103.75,1.251047627258664e+17,1.801443745143006e+17
106.25,1.3757255734880182e+17,1.9273216701403952e+17
108.75,1.5090514401432374e+17,2.058339761739659e+17
111.25,1.6511652634867085e+17,2.1943663881324435e+17
113.75,1.8021515430974458e+17,2.3352335230085002e+17
116.25,1.9620331336813952e+17,2.480735565030735e+17
118.75,2.1307653745499472e+17,2.630628425572273e+17
121.25,2.3082305702359462e+17,2.784628911902268e+17
123.75,2.4942329395263734e+17,2.942414430959679e+17
126.25000000000001,2.688494151898498e+17,3.103623036306965e+17
128.75,2.89064956972852e+17,3.267853837821927e+17
131.25,3.100245311516646e+17,3.4346677901853005e+17
133.75,3.316736245607906e+17,3.6035888722862515e+17
136.25,3.5394850154095194e+17,3.774105665337289e+17
138.75,3.767762185903019e+17,3.94567333281499e+17
141.25,4.000747587382228e+17,4.117716000381521e+17
143.75,4.2375329159488416e+17,4.2896295287618086e+17
146.25,4.477125631572762e+17,4.46078466722669e+17
148.75,4.7184541737550195e+17,4.630530569943572e+17
151.25,4.9603744923680595e+17,4.7981986520890765e+17
153.75,5.201677867507686e+17,4.963106757360697e+17
156.25,5.4410999676464384e+17,5.1245636034680384e+17
158.75000000000003,5.677331070550601e+17,5.28187346741788e+17
161.25,5.909027346868133e+17,5.4343410680211725e+17
163.75,6.134823082590463e+17,5.581276599127395e+17
166.25,6.353343694320781e+17,5.7220008637132544e+17
168.75,6.563219371019839e+17,5.855850456190039e+17
171.25,6.763099158194751e+17,5.982182938210263e+17
173.75,6.951665285852833e+17,6.100381951902913e+17
176.25,7.127647530407703e+17,6.209862213888324e+17
178.75,7.289837393472899e+17,6.310074333646821e+17
181.25,7.437101877397272e+17,6.40050940085453e+17
183.75,7.568396638677682e+17,6.480703288154979e+17
186.25000000000003,7.682778306114977e+17,6.550240618491558e+17
188.75,7.779415760735587e+17,6.608758349555804e+17
191.25,7.857600188947991e+17,6.655948932063786e+17
193.75,7.916753738895265e+17,6.691563003403415e+17
196.25,7.956436632150127e+17,6.715411583627352e+17
198.75,7.976352608327761e+17,6.72736774671793e+17
201.25,7.976352608327721e+17,6.727367746432972e+17
203.75,7.956436632149998e+17,6.715411582751375e+17
206.25,7.916753738895027e+17,6.691563001871615e+17
208.75,7.85760018894761e+17,6.655948929763383e+17
211.25000000000003,7.779415760735005e+17,6.608758346318552e+17
213.75,7.682778306114108e+17,6.550240614082611e+17
216.25,7.568396638676397e+17,6.480703282257582e+17
218.75,7.437101877395384e+17,6.400509393049495e+17
221.25,7.289837393470132e+17,6.310074323385725e+17
223.75,7.127647530403667e+17,6.209862200458881e+17
226.25,6.951665285846963e+17,6.100381934384612e+17
228.75,6.76309915818623e+17,5.982182915417764e+17
231.25,6.563219371007501e+17,5.855850426601414e+17
233.75,6.353343694302963e+17,5.722000825379174e+17
236.25000000000003,6.134823082564797e+17,5.581276549556475e+17
238.75,5.90902734683126e+17,5.4343410040357824e+17
241.25000000000003,5.6773310704977434e+17,5.2818733849729754e+17
243.75,5.44109996757087e+17,5.124563497424142e+17
246.25000000000003,5.201677867399911e+17,4.963106621200035e+17
248.75,4.9603744922147424e+17,4.798198477561197e+17
251.25000000000003,4.718454173537448e+17,4.6305303466241024e+17
253.75,4.4771256312647885e+17,4.4607843819687635e+17
256.25,4.237532915513992e+17,4.2896291650156064e+17
258.75,4.000747586769752e+17,4.117715537351786e+17
261.25,3.767762185042528e+17,3.945672744420209e+17
263.75,3.5394850142035923e+17,3.774104918926271e+17
266.25,3.316736243922094e+17,3.603587927058813e+17
268.75,3.100245309165862e+17,3.4346665952528384e+17
271.25,2.890649566458657e+17,3.267852329830529e+17
273.75,2.6884941473615786e+17,3.103621136530376e+17
276.25,2.494232933247143e+17,2.942412041751163e+17
278.75000000000006,2.3082305615669968e+17,2.784625912372854e+17
281.25,2.1307653626117005e+17,2.6306246663375917e+17
283.75,1.962033117281957e+17,2.4807308618389418e+17
286.25,1.8021515206259606e+17,2.3352276490269834e+17
288.75,1.6511652327718323e+17,2.1943590646305962e+17
291.25,1.509051398265803e+17,2.0583306468576474e+17
293.75,1.3757255165338378e+17,1.927310345379391e+17
296.25,1.2510475499931984e+17,1.801429699148802e+17
298.75,1.1348281619964798e+17,1.6807852532460467e+17
301.25,1.0268349840153874e+17,1.565440184881145e+17
303.75,9.267988199741845e+16,1.455426108099349e+17
306.25000000000006,8.344197051267707e+16,1.3507450266073728e+17
308.75,7.493727470446755e+16,1.2513714044392114e+17
311.25,6.7131368686355096e+16,1.1572543248759474e+17
313.75,5.998841296589055e+16,1.0683197090857794e+17
316.25,5.347164034449645e+16,9.84472567317178e+16
318.75,4.754380165982757e+16,9.055992571154395e+16
321.25,4.21675693313282e+16,8.31569724895718e+16
323.75,3.7305897584539736e+16,7.622397092478054e+16
326.25,3.2922339066494504e+16,6.9745288652435656e+16
328.75000000000006,2.8981318314096812e+16,6.37042941530832e+16
331.25,2.5448363193662836e+16,5.8083554844994424e+16
333.75,2.2290295989529624e+16,5.286502494566265e+16
336.25,1.947538628228798e+16,4.803022207751351e+16
338.75,1.6973468124477444e+16,4.356039181650942e+16
341.25,1.4756024297293562e+16,3.943665959694202e+16
343.75,1.2796240621447114e+16,3.564016958891313e+16
346.25,1.1069033405560974e+16,3.2152210354772012e+16
348.75,9551053154183120.0,2.895432726543451e+16
351.25,8220667633065101.0,2.602842181584402e+16
353.75,7057927310627519.0,2.3356838119992436e+16
356.25000000000006,6044516070397497.0,2.0922436989434508e+16
358.75,5163689928424432.0,1.8708658104977364e+16
361.25,4400206300654263.5,1.6699570879387798e+16
363.75,3740246155867294.5,1.4879914680002994e+16
366.25,3171331167298910.5,1.3235129134753428e+16
368.75,2682237746980750.5,1.1751375284216354e+16
371.25,2262909616874414.5,1.041554836698517e+16
373.75,1904370344912532.2,9215283037057614.0
376.25,1598637056181506.8,8138951811404422.0
378.75,1338636322939310.2,7175657534721430.0
381.25,1118123044464327.9,6315220627965026.0
383.75000000000006,931602950670069.1,5548161858990349.0
386.25,774259203151176.8,4865681338797247.0
388.75,641883424431481.1,4259634406832251.0
391.25,530811360760455.7,3722505024723756.5
393.75,437863275529224.25,3247377250888593.5
396.25,360289078595376.4,2827905319693644.0
398.75,295718120596147.2,2458282799242277.0
401.25,242113519574487.97,2133211252229031.0
403.75,197730838690738.38,1847868775410004.5
406.25,161080897111187.72,1597878745704897.0
408.75,130896469989241.11,1379279055309450.0
411.25000000000006,106102616426387.97,1188492074882634.0
413.75,85790365100254.4,1022295543215027.2
416.25,69193484621297.89,877794544028482.6
418.75,55668068458429.57,752394695865801.5
421.25,44674671384152.07,643776649493782.8
423.75,35762744864648.62,549871958889975.6
426.25,28557131801775.55,468840366682820.6
428.75,22746395773773.234,399048522789533.4
431.25,18072775778102.75,339050135829251.7
433.75000000000006,14323573912935.805,287567540532492.7
436.25,11323799998069.658,243474650649239.47
438.75000000000006,8929913472569.232,205781255586797.84
441.25,7024518734436.57,173618609983252.34
443.75,5511885195099.945,146226258434822.84
446.25,4314177556472.8804,122940032436206.72
448.75,3368295079833.7397,103181153055068.17
451.25,2623230845790.0674,86446370743823.95
453.75,2037873180263.7524,72299072801080.08
456.25,1579181548138.7908,60361289149240.336
458.75,1220678321324.5684,50306528123924.2
461.25000000000006,941205955413.3407,41853375718099.84
463.75,723906314609.1139,34759794046368.387
466.25000000000006,555385231793.2036,28818057563891.78
468.75,425030947662.0554,23850268675423.9
471.25,324459909903.7752,19704397701983.13
473.75,247067600224.30524,16250795648349.674
476.25,187665661682.47314,13379131758837.117
478.74999999999994,142189686171.8589,10995711398478.178
481.25000000000006,107464653011.38187,9021133299528.203
483.75,81017241034.60509,7388248626578.688
486.25,60926120103.652214,6040387604028.897
488.75,45702910561.23027,4929822591572.439
491.25000000000006,34197822905.269917,4016439468049.834
493.75000000000006,25525092407.072796,3266591978886.0225
496.25,19004237570.051903,2652116309928.86
498.75,14113926208.2919,2149485567738.7356
501.24999999999994,10455853700.459936,1739086073780.2249
503.75000000000006,7726546402.485497,1404599420983.574
506.25,5695417956.593602,1132476101561.022
508.75,4187743247.0073905,911488202341.5599
511.25,3071487537.9664183,732350187108.247
513.7500000000001,2247148286.8910494,587398154270.4004
516.25,1639943818.6058562,470319183027.1525
518.75,1193824458.286856,375923472599.93634
521.25,866894480.8200272,299952947784.12384
523.75,627922821.5430481,238920860490.3332
526.25,453691414.5409572,189977671300.27847
528.75,326985969.5114154,150799157111.86215
531.25,235077973.981006,119493269945.08199
533.75,168581154.56024152,94522776609.38484
536.25,120592520.49822694,74641147276.96019
538.75,86049031.13634433,58839540529.30988
541.25,61247146.665326096,46303059990.14431
543.75,43485052.71437933,36374739460.49791
546.2500000000001,30796999.403943356,28525955176.41678
548.75,21756602.251903344,22332170497.02817
551.25,15331618.47966366,17453094551.36622
553.75,10777032.65079364,13616486179.688135
556.25,7556569.091328181,10604961493.317772
558.75,5285235.948603897,8245270718.327964
561.25,3687383.99904051,6399600469.852773
563.75,2566177.052641889,4958533664.277516
566.25,1781431.5155039248,3835363041.175304
568.7500000000001,1233575.9937075942,2961507580.3209047
571.25,852073.2883039269,2282825556.4933376
573.75,587086.7194760714,1756654950.2568276
576.25,403498.40801646694,1349442606.0982263
578.75,276627.6954180153,1034848909.2609836
581.25,189175.00561572777,792235699.5749528
583.75,129046.46615626224,605462385.4372948
586.25,87809.74999598229,461929382.8439412
588.75,59601.01131298136,351819605.55051464
591.25,40353.27443649632,267498212.80212793
593.75,27253.24351953991,203038549.54478493
596.25,18359.966163902598,153848499.20073277
598.75,12337.859489221928,116376568.29923442
601.25,8270.314540796504,87881149.48547134
603.75,5529.915539471344,66249742.10060871
606.25,3688.3254308332866,49857594.31747965
608.75,2453.885145615973,37457388.66111128
611.25,1628.521490693856,28093323.06905767
613.75,1078.0701475041235,21034323.977204595
616.25,711.8931438225409,15722232.916624753
618.75,468.91795694086255,11731688.143995171
621.25,308.1010523621647,8739122.124809908
623.7500000000001,201.93135668284282,6498850.122133157
626.25,132.01661966952014,4824663.745170465
628.75,86.09297537159432,3575689.513161236
631.25,56.004263471013026,2645545.1553540505
633.75,36.34031827729136,1954040.6462937787
636.25,23.521804011260585,1440839.0027908885
638.75,15.18681809879629,1060623.3420772136
641.25,9.780863975989325,779419.3498685735
643.75,6.283504217329735,571802.2793461297
646.2500000000001,4.026622041016261,418779.77378320764
648.75,2.573914318304947,306190.0357989591
651.25,1.6412002292136185,223492.2018571472
653.75,1.0438625474355605,162854.62151795224
656.25,0.6622764720377583,118468.97294987124
658.75,0.41913082396836115,86035.24780856079
661.25,0.2645904344990666,62375.76623443008
663.75,0.1666145565607791,45146.43888076621
666.25,0.10465645201143146,32621.180224784188
668.75,0.06557425077562783,23531.241791395758
671.25,0.040984055475706375,16945.698418320775
673.75,0.02555116979726037,12182.71250194051
676.25,0.015889890672116786,8743.772752811474
678.7500000000001,0.009857012198507539,6265.049734024818
681.25,0.006099355441266975,4481.479675636344
683.75,0.0037647561826485653,3200.2952116073016
686.25,0.0023179498281577665,2281.5543140038085
688.75,0.0014235917795541923,1623.8436126802023
691.25,0.0008721298986988591,1153.8003648439471
693.75,0.0005329557388776469,818.4472387058973
696.25,0.00032487431329642527,579.5951135425444
698.75,0.0001975394634292247,409.76345529819054
701.2500000000001,0.00011981374107300473,289.2122489243758
703.75,7.248925755394203e-05,203.78657317493347
706.25,4.374767109237029e-05,143.35417648901242
708.75,2.6336040945077244e-05,100.67497068852474
711.25,1.581467615093784e-05,70.58453064439581
713.75,9.472931153507585e-06,49.40545355122009
716.25,5.6600819969984856e-06,34.52375885190206
718.75,3.3734581625409542e-06,24.08460729849949
721.25,2.0055901953483533e-06,16.77412460583425
723.7500000000001,1.1893873935234294e-06,11.663246424716025
726.25,7.035884929490447e-07,8.09615517318801
728.75,4.151723180203761e-07,5.610718447125621
731.25,2.443724896596791e-07,3.881851405246531
733.75,1.4347971383378983e-07,2.681270418069652
736.25,8.403166215121293e-08,1.8489454908846743
738.75,4.909188068003803e-08,1.2728870989596206
741.25,2.8608207672044414e-08,0.8748597869403758
743.75,1.662975662155914e-08,0.6003027407816602
746.25,9.642627735952179e-09,0.4112311564186658
748.75,5.577237924284495e-09,0.28124578507385994
751.25,3.2177863628628306e-09,0.19203079354186964
753.75,1.851865775553594e-09,0.13090043538849766
756.2500000000001,1.0631047732043361e-09,0.08908348245910211
758.75,6.087751192354683e-10,0.06052568096149603
761.25,3.4773786595293924e-10,0.041055288662047426
763.75,1.981350635285702e-10,0.027802637044753598
766.25,1.126120737849146e-10,0.018797100077811945
768.75,6.384440409270353e-11,0.012687738870320894
771.25,3.6105634633036933e-11,0.008550010690676004
773.75,2.036767198336597e-11,0.0057522621128447415
776.25,1.1460988191303183e-11,0.0038636768705533776
778.7500000000001,6.433051108765389e-12,0.002590917533732594
781.25,3.6018548078294963e-12,0.0017345929835917793
783.75,2.011637238804187e-12,0.0011594000859364204
786.25,1.120694897577491e-12,0.0007736799908910043
788.75,6.22786781956961e-13,0.0005154448974963459
791.25,3.4522770581074253e-13,0.0003428439719827644
793.75,1.9089131146575552e-13,0.000227669439059821
796.25,1.0528850155392731e-13,0.00015094108194270442
798.75,5.792819441088041e-14,9.990914415140835e-05
801.2500000000001,3.179166715060694e-14,6.602351426672502e-05
803.75,1.740407224938102e-14,4.3560034516205245e-05
806.25,9.503918774776645e-15,2.869290609604658e-05
808.75,5.176888583042326e-15,1.8869403362041107e-05
811.2500000000001,2.812866910697865e-15,1.2389097678611767e-05
813.75,1.524557518507373e-15,8.121189294122131e-06
816.25,8.24238141756392e-16,5.314942980915147e-06
818.75,4.445041961829092e-16,3.47277926965761e-06
821.25,2.391185598240869e-16,2.2654575136819794e-06
823.75,1.2831131957684603e-16,1.4754870862638788e-06
826.25,6.868010021185928e-17,9.594364949155254e-07
828.75,3.6670018813829364e-17,6.228722295259216e-07
831.25,1.953015136301455e-17,4.0372365934316825e-07
833.7500000000001,1.0375626970068645e-17,2.6125975715433175e-07
836.25,5.4984129449843896e-18,1.687969173477112e-07
838.75,2.906528736654219e-18,1.0888317318468875e-07
841.25,1.5325905831011599e-18,7.012322578180947e-08
843.75,8.061056184023633e-19,4.508877723719205e-08
846.25,4.229334229573747e-19,2.894550171963337e-08
848.75,2.213432743702304e-19,1.8552411022648885e-08
851.25,1.155513215994346e-19,1.18720819730713e-08
853.75,6.01724600941683e-20,7.5850993430865e-09
856.2500000000001,3.125610678225114e-20,4.83842621942641e-09
858.75,1.619519792839792e-20,3.0814565178433487e-09
861.25,8.370509661649577e-21,1.9593753758771006e-09
863.75,4.315506824733345e-21,1.243911666374083e-09
866.2500000000001,2.2193509185975862e-21,7.884467065731563e-10
868.75,1.13850360631987e-21,4.989610779044126e-10
871.25,5.825820611947976e-22,3.1526309636163735e-10
873.75,2.9736788820789237e-22,1.9888057453448518e-10
876.25,1.514067695635589e-22,1.252636260488055e-10
878.7500000000001,7.689724522938967e-23,7.877195078427745e-11
881.25,3.8957451099311766e-23,4.945757943886082e-11
883.75,1.9687227064616335e-23,3.100340378784747e-11
886.25,9.924138810694285e-24,1.940447018118261e-11
888.7500000000001,4.990170378183851e-24,1.2125809126665416e-11
891.25,2.5029500422593685e-24,7.565485899434909e-12
893.75,1.2522852135767269e-24,4.712818571024622e-12
